CPD_NAME,BROAD_ID
altizide,BRD-A56675431
"BRL-15,572",BRD-A51829654
equilin,BRD-K04046242
diazepam,BRD-K16508793
SR 57227A,BRD-K09397065
ER-27319,BRD-K11927976
PAPP,BRD-K14282469
arachidonic acid,BRD-K03070961
1-(1-naphthyl)piperazine,BRD-K05977380
furaltadone,BRD-A67514145
dantron,BRD-K10065684
cefotiam,BRD-K02275692
promazine,BRD-K06980535
penitrem A,BRD-K03842655
NGB 2904,BRD-K05181084
D4476,BRD-K09132007
aminogenistein,BRD-K04976539
CL-82198,BRD-K00675675
ZD 7155,BRD-K11373525
AG 490,BRD-K12357156
mexicanolide,BRD-A64523751
SB-228357,BRD-K15424032
PHCCC,BRD-A48257147
16-deoxomexicanolide 16-methyl ether,BRD-A48478073
mephentermine,BRD-K18194590
NSC 663284,BRD-K03109492
naftidrofuryl,BRD-A67862938
pentoxyverine,BRD-K06181161
4-P-PDOT,BRD-A67482312
Ro 106-9920,BRD-A53134341
KF 38789,BRD-A54927599
orphenadrine,BRD-A53576514
R(-)-N-allylnorapomorphine,BRD-K07079548
altanserin,BRD-K00610438
(-)-terreic acid,BRD-A64228451
sulfathiazole,BRD-K14705039
"2',5'-dideoxyadenosine",BRD-A63759745
"1,3-dipropyl-8-cyclopentylxanthine",BRD-K01824921
cinnarizine,BRD-K07220430
hydroxyzine,BRD-A62428732
Ro 60-0175,BRD-A49370193
LE-135,BRD-K06593056
3-beta-hydroxydeoxodihydrodeoxygedunin,BRD-A67508925
pepstatin,BRD-K13571841
DIHYDROERGOCRISTINE,BRD-A65076780
bergaptene,BRD-K12968785
adrenosterone,BRD-K17368287
phenylbutazone,BRD-K10843433
salicyl alcohol,BRD-K08493205
GBR 13069,BRD-K11634954
3-beta-acetoxydeoxodihydrogedunin,BRD-A71001587
meclozine,BRD-A50311610
tianeptine,BRD-A53077924
cyclopentolate,BRD-A77291778
belinostat,BRD-K17743125
cucurbitacin I,BRD-A49680073
papaverine hydrochloride,BRD-K15567136
articaine,BRD-A70514680
parbendazole,BRD-K02407574
etodolac,BRD-A74667430
ticlopidine,BRD-K00603606
4-nonylphenol,BRD-K13959223
lasalocid,BRD-K10207760
caffeine,BRD-K02404261
"24,25-dihydroxyvitamin D3",BRD-K02965577
binospirone,BRD-A50764878
"L-733,060",BRD-K15791587
PDMP,BRD-K05653692
FGIN-1-27,BRD-K09778810
quinpirole,BRD-A85280935
noscapine,BRD-A77907596
cloprostenol,BRD-K17850764
neocuproine,BRD-K16598630
tetrindole,BRD-A52660433
"L-741,742",BRD-K13211965
glipizide,BRD-K12219985
m-3M3-FBS,BRD-K09635314
MT-21,BRD-A99449986
"GPR109b Agonist, IBC 293",BRD-K15196155
LE 300,BRD-K01648091
SKF 77434,BRD-A64227845
"TROPANYL 3,5-DIMETHYLBENZOATE",BRD-A84389633
anthraquinone,BRD-K15957397
SC-560,BRD-K14767410
ketoprofen,BRD-A97739905
terbutaline,BRD-A50157456
"6-FORMYLINDOLO [3,2-B] CARBAZOLE",BRD-K00184207
linoleic acid,BRD-K08973992
"1,3,5-tris(4-hydroxyphenyl)-4-propyl-1H-pyrazole",BRD-K00312224
tropisetron,BRD-A83859836
"L-732,138",BRD-A96882008
piperidolate,BRD-A97479839
mirtazapine,BRD-A64977602
cefdinir,BRD-K15766189
IB-MECA,BRD-A48809242
butein,BRD-K17497770
DOCOSATRIENOIC ACID (22:3 n-3),BRD-K01624546
lasalocid,BRD-A72711497
telenzepine,BRD-K06147391
GR 32191,BRD-K02283807
DH 97,BRD-K06014311
yohimbine hydrochloride,BRD-A51410489
diltiazem,BRD-A69636825
cefuroxime,BRD-A76746748
methotrexate,BRD-A55424491
simazine,BRD-K01416914
esculin,BRD-A99411506
7-nitroindazole,BRD-K04430056
sarmentogenin,BRD-A89434049
naproxen,BRD-A87719232
thiamphenicol,BRD-K79711234
salsolidine,BRD-A75140635
clotrimazole,BRD-K15916496
SDZ NKT 343,BRD-A82590476
clenbuterol,BRD-A75726477
minaprine,BRD-K02867583
dideoxyadenosine,BRD-A50913845
carbenoxolone,BRD-K12765235
gatifloxacin,BRD-A74980173
hyoscyamine,BRD-A78303415
primaquine,BRD-A55913614
indole-3-carbinol,BRD-K01815685
eliprodil,BRD-A61392169
colchicine,BRD-A46684810
succinylsulfathiazole,BRD-K01950558
thioproperazine,BRD-K08619574
salubrinal,BRD-A77299732
ZK 164015,BRD-K05151076
diclofenac,BRD-K08252256
timolol,BRD-K08806317
40 (DMCM),BRD-K14844937
apoptosis activator II,BRD-K15164005
brompheniramine,BRD-A68723818
brazilin,BRD-A83326220
troxerutin,BRD-A74160776
"2,3-dihydroxy-6,7-dichloroquinoxaline",BRD-K80576679
mexiletine,BRD-A64092382
perphenazine,BRD-K10995081
"L-655,708",BRD-A84389091
FPL 55712,BRD-A96456596
H7,BRD-A55756846
mepenzolate bromide,BRD-A62421304
U 18666A,BRD-A81795050
17-PA,BRD-A94046266
UBP 296,BRD-A45499626
"L-701,252",BRD-K10176267
tyrphostin B44,BRD-K11158509
crustecdysone,BRD-A46778020
2-propyl-3-hydroxyethylenepyran-4-one,BRD-K03470412
scopolamin-N-oxide hydrobromide,BRD-A49906757
2-methoxyidazoxan,BRD-A65597028
GW 6471,BRD-A72596465
"2,4-dichlorophenoxyacetic acid isooctyl ester",BRD-A81260764
DRB,BRD-A74904029
delcorine,BRD-A88282067
tyrphostin AG-1288,BRD-K08115555
SKF 89976A,BRD-A49046702
ancitabine,BRD-A90462498
vincristine,BRD-K09598619
bromocriptine,BRD-A80151636
bromocriptine,BRD-K14496212
ajmaline,BRD-A89846380
ciclosporin,BRD-A69815203
monastrol,BRD-A78377521
sericetin,BRD-K05433219
6-oxoprogesterone,BRD-A55574211
econazole,BRD-A51820102
spiroxatrine,BRD-A72483914
glemanserin,BRD-A62057054
lomefloxacin,BRD-A75850590
KN-62,BRD-A81177136
muurolladie-3-one,BRD-A75954196
fendiline,BRD-A71033472
"8-hydroxy-15,16-bisnor-11-labden-13-one",BRD-A61864215
methysergide,BRD-A98725278
benperidol,BRD-K79425933
SEW2871,BRD-K15601958
quercitrin,BRD-A76899420
suxibuzone,BRD-K78815826
PSB 36,BRD-A70407468
fenoldopam,BRD-A50684349
sulpiride,BRD-A55272860
chlorcyclizine,BRD-A57133233
"1,2alpha-epoxy-7-deacetoxy-7-oxodihydrogedunin",BRD-A86550573
dehydrocholic acid,BRD-A64125466
PD 123319,BRD-A63836183
isoxicam,BRD-A75552914
CGK733,BRD-A50737080
SCH-79797,BRD-K17140735
bromocriptine,BRD-A60274948
condelphine,BRD-A84941884
resveratrol 4'-methyl ether,BRD-K02671211
tenidap,BRD-A87479750
(R)-(+)-Bay K 8644,BRD-K16695519
cortisone,BRD-A62731508
totarol-19-carboxylic acid methyl ester,BRD-A77488069
sulfaphenazole,BRD-K10671814
foliosidine,BRD-A49734948
secnidazole,BRD-A70083328
ZM226600,BRD-A62209527
cilastatin,BRD-A90311807
CV 1808,BRD-A64933752
2-Cl-IB-MECA,BRD-A83387524
flurbiprofen,BRD-A86044036
isoxsuprine,BRD-A74269027
bendroflumethiazide,BRD-A80017228
prednisone,BRD-A62525898
dihydro-ergotamine,BRD-A54845972
hydroquinine,BRD-A78295502
medetomidine,BRD-A66563878
NNC 05-2090,BRD-K85015012
BH3I-1,BRD-A71799696
lobelanidine,BRD-A59215453
betamethasone valerate,BRD-A80594172
SKF-38393,BRD-A88548664
tiaprofenic acid,BRD-A72988804
neohesperidin dihydrochalcone,BRD-A84867566
gabazine,BRD-K93280214
etofylline,BRD-K83064458
tropisetron,BRD-A79226577
caffeic-acid,BRD-K84709232
acetyltyrosine ethyl ester,BRD-A55063801
lansoprazole,BRD-A49172652
4-hydroxyquinazoline,BRD-K91758890
Ro 15-4513,BRD-K82823076
pyrrolidine dithiocarbamic acid,BRD-K80970344
salbutamol,BRD-A88254928
trifluridine,BRD-A64485570
gamolenic acid,BRD-K18059238
SK&F 96365,BRD-A72703248
tamoxifen,BRD-K93754473
Ro 19-4605,BRD-K80778372
liothyronine,BRD-K89152108
deoxysappanone B trimethyl ether,BRD-A77164655
EICOSADIENOIC ACID (20:2 n-6),BRD-K80325895
dihydroptaeroxylin,BRD-A91477472
halcinonide,BRD-K81709173
PETCM,BRD-A93477898
hydrochlorothiazide,BRD-K13078532
canadine,BRD-A69950438
mefloquine,BRD-A89585551
anisomycin,BRD-K91370081
noretynodrel,BRD-K80334323
beclometasone dipropionate,BRD-K97810537
atropine,BRD-A93739713
LY-364947,BRD-K06234293
irilin A dimethyl ether,BRD-K92678294
amisulpride,BRD-A60197193
clobenztropine,BRD-A51713165
7-Hydroxy-PIPAT maleate,BRD-A59391763
(+/-)-PPHT,BRD-A82843133
pimpinellin,BRD-K93197368
pyrimethamine,BRD-K88429204
L-stepholidine,BRD-A71203467
scopoletin,BRD-K96163925
"ICI-118,551",BRD-A78942461
Y 134,BRD-K94832621
veratric acid,BRD-K14520048
2'-MeCCPA,BRD-A60877539
fenclonine,BRD-A81615860
BRL 37344,BRD-K07507905
khellin,BRD-K80353807
cabergoline,BRD-K86882815
guaifenesin,BRD-A90515964
thalidomide,BRD-A93255169
lincomycin,BRD-K81447180
methanandamide,BRD-K97602563
asaronaldehyde,BRD-K88219015
"N,N-di-n-propyldopamine",BRD-K82577285
N-[2-(Piperidinylamino)ethyl]-4-iodobenzamide,BRD-K78844995
histamine trifluoromethyl toluidide,BRD-A66435872
mephenytoin,BRD-A83937277
tropicamide,BRD-A79672927
A 61603 hydrobromide,BRD-A83650191
leucodin,BRD-K96119599
piperacillin,BRD-K86873305
SB-221284,BRD-K14807180
